Date,City,ExpenseType,Amount,
5/10/2014,Bengaluru,India,Fuel,76781
3/22/2014,Bengaluru,India,Food,27234
2/27/2014,Ahmedabad,India,Grocery,11078
8/20/2014,Greater Mumbai,India,Fuel,36127
12/21/2013,Bengaluru,India,Grocery,42867
11/30/2014,Bengaluru,India,Grocery,151535
5/22/2015,Ahmedabad,India,Fuel,133372
6/14/2014,Greater Mumbai,India,Bills,156138
10/16/2014,Greater Mumbai,India,Fuel,28176
8/20/2014,Delhi,India,Food,154942
8/11/2014,Ahmedabad,India,Grocery,185278
10/10/2013,Delhi,India,Entertainment,259740
9/24/2014,Delhi,India,Bills,32612
3/14/2015,Ahmedabad,India,Entertainment,223319
5/29/2014,Bengaluru,India,Bills,239241
4/13/2015,Delhi,India,Entertainment,133201
8/31/2014,Delhi,India,Grocery,171879
11/21/2013,Bengaluru,India,Bills,71967
10/13/2014,Bengaluru,India,Bills,86680
12/10/2013,Delhi,India,Grocery,139475
10/29/2014,Bengaluru,India,Grocery,61654
9/11/2014,Delhi,India,Grocery,29685
11/10/2013,Delhi,India,Entertainment,51185
3/28/2014,Greater Mumbai,India,Fuel,42681
10/27/2014,Bengaluru,India,Entertainment,126112
10/29/2014,Bengaluru,India,Fuel,92115
2/22/2015,Bengaluru,India,Food,29142
1/24/2015,Bengaluru,India,Food,290383
10/20/2013,Ahmedabad,India,Bills,99631
1/17/2015,Delhi,India,Entertainment,125123
7/19/2014,Ahmedabad,India,Food,187763
12/28/2013,Greater Mumbai,India,Bills,248970
2/11/2015,Bengaluru,India,Bills,34867
7/13/2014,Ahmedabad,India,Grocery,224138
11/24/2014,Delhi,India,Bills,104689
5/22/2014,Bengaluru,India,Grocery,255384
10/19/2013,Greater Mumbai,India,Entertainment,191660
1/25/2014,Greater Mumbai,India,Food,198805
8/17/2014,Bengaluru,India,Food,286474
1/16/2014,Greater Mumbai,India,Food,153044
8/30/2014,Greater Mumbai,India,Bills,169787
4/20/2015,Delhi,India,Entertainment,150141
3/15/2014,Ahmedabad,India,Entertainment,115464
3/13/2015,Greater Mumbai,India,Bills,272039
5/15/2014,Delhi,India,Bills,174421
10/31/2014,Greater Mumbai,India,Grocery,280490
11/22/2013,Greater Mumbai,India,Bills,128746
12/19/2014,Greater Mumbai,India,Food,80189
12/17/2013,Bengaluru,India,Grocery,237114
8/10/2014,Bengaluru,India,Bills,41993
9/21/2014,Greater Mumbai,India,Bills,245265
7/17/2014,Ahmedabad,India,Fuel,291025
2/21/2015,Bengaluru,India,Entertainment,170597
1/27/2014,Ahmedabad,India,Bills,77118
4/22/2014,Bengaluru,India,Fuel,291274
11/24/2013,Ahmedabad,India,Entertainment,15392
8/10/2014,Ahmedabad,India,Entertainment,5468
10/30/2014,Greater Mumbai,India,Fuel,23665
4/23/2015,Bengaluru,India,Food,218195
10/10/2014,Ahmedabad,India,Entertainment,121736
5/23/2015,Delhi,India,Fuel,180461
10/30/2013,Bengaluru,India,Grocery,57447
12/29/2013,Greater Mumbai,India,Grocery,163867
12/29/2013,Bengaluru,India,Bills,19575
7/21/2014,Ahmedabad,India,Bills,289970
12/25/2014,Ahmedabad,India,Food,112482
8/18/2014,Ahmedabad,India,Entertainment,298417
1/14/2014,Bengaluru,India,Bills,148870
4/28/2014,Bengaluru,India,Grocery,62019
2/11/2015,Greater Mumbai,India,Bills,82913
1/10/2015,Bengaluru,India,Food,117710
11/20/2013,Delhi,India,Entertainment,210517
1/25/2015,Ahmedabad,India,Food,113890
8/18/2014,Bengaluru,India,Entertainment,229737
2/20/2015,Ahmedabad,India,Food,191165
5/18/2015,Bengaluru,India,Fuel,119664
1/11/2015,Bengaluru,India,Entertainment,12766
1/20/2015,Delhi,India,Food,288805
8/14/2014,Bengaluru,India,Food,100163
7/17/2014,Bengaluru,India,Bills,108240
12/19/2013,Ahmedabad,India,Fuel,118392
8/20/2014,Ahmedabad,India,Food,283746
12/24/2013,Ahmedabad,India,Grocery,68065
4/10/2015,Greater Mumbai,India,Entertainment,164033
11/26/2014,Ahmedabad,India,Food,281658
1/21/2015,Greater Mumbai,India,Entertainment,295463
9/29/2014,Ahmedabad,India,Entertainment,79202
11/17/2013,Ahmedabad,India,Food,12951
11/21/2013,Delhi,India,Bills,267374
10/16/2014,Ahmedabad,India,Grocery,170471
5/30/2014,Greater Mumbai,India,Fuel,127338
12/29/2014,Greater Mumbai,India,Fuel,116195
6/17/2014,Greater Mumbai,India,Food,199403
2/15/2015,Greater Mumbai,India,Fuel,232373
9/18/2014,Delhi,India,Entertainment,151051
11/29/2014,Greater Mumbai,India,Entertainment,248658
4/29/2014,Bengaluru,India,Grocery,175732
5/12/2015,Delhi,India,Bills,103433
9/24/2014,Greater Mumbai,India,Entertainment,285341
3/11/2014,Bengaluru,India,Grocery,125159
10/18/2014,Greater Mumbai,India,Entertainment,264418
11/17/2013,Delhi,India,Fuel,91677
6/26/2014,Bengaluru,India,Entertainment,150662
10/21/2014,Bengaluru,India,Fuel,232677
5/21/2015,Delhi,India,Fuel,87608
3/11/2015,Greater Mumbai,India,Entertainment,74382
9/13/2014,Greater Mumbai,India,Food,229254
4/27/2014,Ahmedabad,India,Food,49600
4/26/2015,Ahmedabad,India,Grocery,196094
11/13/2014,Ahmedabad,India,Fuel,127888
11/25/2014,Greater Mumbai,India,Grocery,47247
5/17/2014,Ahmedabad,India,Bills,136478
5/27/2014,Ahmedabad,India,Bills,297523
3/29/2014,Greater Mumbai,India,Fuel,139910
12/12/2014,Greater Mumbai,India,Fuel,6176
2/18/2015,Bengaluru,India,Food,287628
12/26/2014,Bengaluru,India,Entertainment,246756
10/19/2014,Ahmedabad,India,Bills,138511
4/11/2015,Ahmedabad,India,Grocery,158677
12/19/2013,Bengaluru,India,Fuel,265988
2/12/2014,Ahmedabad,India,Fuel,27927
1/17/2015,Bengaluru,India,Food,188026
3/24/2015,Ahmedabad,India,Entertainment,296977
4/12/2014,Bengaluru,India,Entertainment,7789
11/30/2014,Ahmedabad,India,Entertainment,47532
7/10/2014,Bengaluru,India,Entertainment,246790
7/16/2014,Greater Mumbai,India,Entertainment,179541
2/18/2015,Delhi,India,Fuel,243074
10/31/2014,Delhi,India,Food,24765
5/14/2014,Bengaluru,India,Food,71597
12/13/2013,Greater Mumbai,India,Food,119116
3/29/2015,Bengaluru,India,Grocery,270240
8/31/2014,Bengaluru,India,Grocery,172515
2/14/2014,Greater Mumbai,India,Fuel,132273
7/11/2014,Bengaluru,India,Bills,18829
4/11/2015,Greater Mumbai,India,Fuel,209291
5/16/2015,Greater Mumbai,India,Entertainment,22289
6/27/2014,Ahmedabad,India,Food,78379
12/31/2013,Ahmedabad,India,Food,198893
4/27/2014,Greater Mumbai,India,Food,85667
1/10/2014,Ahmedabad,India,Grocery,13233
1/14/2015,Delhi,India,Grocery,207310
8/23/2014,Ahmedabad,India,Entertainment,257220
12/13/2013,Delhi,India,Grocery,269513
10/13/2013,Ahmedabad,India,Bills,298523
11/30/2014,Bengaluru,India,Entertainment,9906
11/24/2013,Bengaluru,India,Entertainment,222660
10/17/2014,Greater Mumbai,India,Entertainment,183026
4/26/2014,Ahmedabad,India,Bills,37707
11/26/2013,Bengaluru,India,Entertainment,128398
5/24/2014,Ahmedabad,India,Fuel,77385
5/24/2015,Bengaluru,India,Grocery,193919
2/26/2015,Greater Mumbai,India,Grocery,133894
2/20/2014,Bengaluru,India,Entertainment,118670
1/26/2015,Bengaluru,India,Food,215961
6/18/2014,Delhi,India,Grocery,72088
3/27/2014,Greater Mumbai,India,Bills,185707
2/10/2014,Delhi,India,Food,50926
6/22/2014,Delhi,India,Bills,194055
6/15/2014,Delhi,India,Fuel,33096
3/20/2014,Ahmedabad,India,Entertainment,130438
12/10/2014,Bengaluru,India,Bills,236755
11/20/2014,Greater Mumbai,India,Food,129210
3/31/2014,Bengaluru,India,Entertainment,206926
7/21/2014,Delhi,India,Grocery,101124
9/14/2014,Greater Mumbai,India,Fuel,85268
2/20/2014,Delhi,India,Fuel,17855
12/24/2013,Ahmedabad,India,Entertainment,297649
8/27/2014,Ahmedabad,India,Bills,66629
4/14/2015,Bengaluru,India,Grocery,241330
4/12/2014,Bengaluru,India,Grocery,219156
3/18/2015,Ahmedabad,India,Grocery,201441
11/28/2013,Bengaluru,India,Entertainment,133349
4/12/2015,Bengaluru,India,Food,299217
10/28/2013,Bengaluru,India,Grocery,8051
9/30/2014,Delhi,India,Food,161309
4/11/2014,Bengaluru,India,Food,157755
3/29/2014,Bengaluru,India,Entertainment,279465
1/30/2014,Greater Mumbai,India,Bills,216616
12/31/2014,Greater Mumbai,India,Entertainment,192164
3/31/2015,Ahmedabad,India,Fuel,87529
5/12/2014,Delhi,India,Fuel,262129
3/20/2014,Ahmedabad,India,Food,95689
5/30/2014,Ahmedabad,India,Food,68355
1/11/2014,Greater Mumbai,India,Grocery,166188
12/25/2014,Bengaluru,India,Grocery,36606
8/30/2014,Delhi,India,Entertainment,204482
7/19/2014,Greater Mumbai,India,Bills,31860
11/19/2014,Greater Mumbai,India,Entertainment,92448
3/26/2015,Delhi,India,Bills,160692
5/14/2015,Greater Mumbai,India,Bills,252756
3/10/2014,Ahmedabad,India,Grocery,95394
4/16/2014,Ahmedabad,India,Entertainment,227152
12/20/2014,Bengaluru,India,Entertainment,19598
11/24/2014,Greater Mumbai,India,Bills,228215
4/14/2014,Greater Mumbai,India,Entertainment,112891
5/11/2015,Greater Mumbai,India,Fuel,229549
4/16/2014,Delhi,India,Grocery,280848
3/10/2014,Greater Mumbai,India,Fuel,268407
8/25/2014,Ahmedabad,India,Entertainment,276418
12/10/2014,Bengaluru,India,Bills,221788
11/16/2014,Ahmedabad,India,Entertainment,62931
12/28/2013,Delhi,India,Entertainment,239678
2/27/2014,Delhi,India,Bills,28521
2/26/2015,Ahmedabad,India,Bills,85339
10/11/2013,Bengaluru,India,Grocery,23448
4/19/2015,Greater Mumbai,India,Bills,285254
4/28/2014,Ahmedabad,India,Food,39632
8/18/2014,Delhi,India,Entertainment,241234
7/16/2014,Delhi,India,Food,276057
5/23/2014,Delhi,India,Bills,68806
1/19/2014,Delhi,India,Grocery,188813
7/16/2014,Greater Mumbai,India,Fuel,68341
10/15/2013,Bengaluru,India,Grocery,265874
4/29/2014,Ahmedabad,India,Bills,191477
2/14/2014,Ahmedabad,India,Entertainment,268598
8/21/2014,Ahmedabad,India,Fuel,246212
1/11/2015,Bengaluru,India,Bills,176941
5/30/2014,Delhi,India,Fuel,97664
6/21/2014,Bengaluru,India,Bills,55894
11/13/2013,Greater Mumbai,India,Grocery,239149
8/16/2014,Greater Mumbai,India,Entertainment,170835
1/18/2014,Bengaluru,India,Food,8328
2/10/2014,Bengaluru,India,Bills,181271
12/21/2013,Bengaluru,India,Entertainment,199288
3/11/2014,Delhi,India,Food,56606
5/11/2014,Ahmedabad,India,Entertainment,288843
5/11/2015,Delhi,India,Food,292980
4/24/2015,Bengaluru,India,Food,224782
12/15/2014,Ahmedabad,India,Bills,279110
9/25/2014,Delhi,India,Food,130664
10/31/2014,Greater Mumbai,India,Entertainment,43616
4/24/2015,Bengaluru,India,Grocery,2628
10/12/2013,Bengaluru,India,Entertainment,193522
7/29/2014,Ahmedabad,India,Entertainment,270301
8/18/2014,Delhi,India,Food,244981
3/11/2014,Ahmedabad,India,Food,44908
10/19/2014,Greater Mumbai,India,Food,227797
8/18/2014,Bengaluru,India,Bills,288011
3/12/2015,Greater Mumbai,India,Entertainment,258791
12/28/2013,Delhi,India,Bills,263323
3/17/2014,Delhi,India,Grocery,203094
7/26/2014,Bengaluru,India,Grocery,18351
10/12/2013,Greater Mumbai,India,Entertainment,37103
3/13/2014,Bengaluru,India,Food,141036
12/21/2013,Greater Mumbai,India,Bills,40116
12/23/2013,Greater Mumbai,India,Food,212380
3/21/2015,Ahmedabad,India,Bills,174230
3/29/2015,Greater Mumbai,India,Fuel,109583
12/27/2013,Delhi,India,Food,207467
11/18/2013,Delhi,India,Bills,249325
11/27/2013,Greater Mumbai,India,Fuel,1310
9/23/2014,Bengaluru,India,Bills,207727
9/22/2014,Greater Mumbai,India,Bills,136662
12/12/2014,Greater Mumbai,India,Entertainment,86749
1/20/2015,Delhi,India,Food,51412
3/28/2015,Ahmedabad,India,Grocery,242667
11/16/2013,Ahmedabad,India,Entertainment,101110
2/21/2014,Greater Mumbai,India,Food,280521
9/22/2014,Greater Mumbai,India,Entertainment,93147
2/17/2014,Ahmedabad,India,Food,282094
9/13/2014,Bengaluru,India,Fuel,255815
9/12/2014,Delhi,India,Fuel,117316
1/16/2015,Delhi,India,Fuel,88930
8/19/2014,Ahmedabad,India,Grocery,272227
5/25/2014,Ahmedabad,India,Food,132373
6/20/2014,Greater Mumbai,India,Fuel,139309
2/17/2014,Greater Mumbai,India,Entertainment,71398
12/22/2013,Ahmedabad,India,Grocery,198910
12/28/2013,Bengaluru,India,Grocery,29531
11/16/2014,Greater Mumbai,India,Food,228387
1/22/2015,Delhi,India,Fuel,19193
1/13/2014,Ahmedabad,India,Grocery,30857
1/18/2015,Delhi,India,Food,41731
4/21/2014,Greater Mumbai,India,Food,12614
12/12/2013,Ahmedabad,India,Bills,92284
10/29/2013,Ahmedabad,India,Entertainment,125517
10/28/2014,Delhi,India,Grocery,2393
3/11/2014,Greater Mumbai,India,Entertainment,200390
8/17/2014,Greater Mumbai,India,Entertainment,190575
2/16/2015,Delhi,India,Entertainment,192587
12/24/2014,Delhi,India,Fuel,108860
3/10/2015,Bengaluru,India,Food,19242
7/27/2014,Delhi,India,Food,170945
12/22/2013,Delhi,India,Food,223891
4/29/2014,Ahmedabad,India,Entertainment,245856
9/11/2014,Greater Mumbai,India,Entertainment,82021
11/22/2014,Greater Mumbai,India,Grocery,221221
3/19/2015,Greater Mumbai,India,Food,284273
4/10/2015,Greater Mumbai,India,Bills,54814
9/16/2014,Greater Mumbai,India,Grocery,219649
12/10/2014,Greater Mumbai,India,Fuel,62964
3/15/2014,Greater Mumbai,India,Grocery,27395
5/16/2015,Ahmedabad,India,Grocery,212709
3/17/2014,Delhi,India,Grocery,294934
6/28/2014,Ahmedabad,India,Entertainment,191608
3/20/2014,Greater Mumbai,India,Entertainment,93385
5/16/2014,Ahmedabad,India,Fuel,43924
11/30/2014,Greater Mumbai,India,Food,270596
4/26/2015,Greater Mumbai,India,Grocery,234231
5/15/2015,Greater Mumbai,India,Entertainment,73287
11/29/2014,Greater Mumbai,India,Entertainment,35146
4/27/2014,Ahmedabad,India,Food,93599
8/22/2014,Delhi,India,Grocery,178041
6/23/2014,Delhi,India,Entertainment,60881
9/18/2014,Delhi,India,Food,122674
2/16/2015,Delhi,India,Fuel,293919
4/19/2014,Delhi,India,Food,90633
4/15/2014,Delhi,India,Entertainment,105623
5/11/2014,Delhi,India,Food,200092
6/16/2014,Bengaluru,India,Fuel,164101
2/28/2015,Delhi,India,Fuel,277295
10/16/2013,Greater Mumbai,India,Fuel,36807
6/20/2014,Bengaluru,India,Bills,177903
9/25/2014,Delhi,India,Fuel,223932
8/27/2014,Greater Mumbai,India,Fuel,38697
5/24/2014,Delhi,India,Bills,272424
2/26/2015,Bengaluru,India,Entertainment,256924
12/15/2013,Delhi,India,Fuel,73518
12/13/2014,Delhi,India,Bills,245045
3/19/2014,Delhi,India,Food,65381
3/30/2015,Bengaluru,India,Fuel,178209
1/16/2015,Ahmedabad,India,Entertainment,278868
2/13/2015,Delhi,India,Entertainment,89855
1/31/2015,Bengaluru,India,Food,55295
11/18/2014,Greater Mumbai,India,Entertainment,190805
10/24/2014,Ahmedabad,India,Grocery,47324
6/28/2014,Greater Mumbai,India,Food,257336
10/30/2014,Ahmedabad,India,Grocery,202073
11/24/2014,Delhi,India,Bills,30953
4/22/2015,Delhi,India,Entertainment,250258
8/29/2014,Ahmedabad,India,Fuel,57415
8/21/2014,Ahmedabad,India,Fuel,220119
6/22/2014,Greater Mumbai,India,Grocery,288617
5/27/2014,Delhi,India,Fuel,240869
5/23/2014,Ahmedabad,India,Food,287744
8/31/2014,Ahmedabad,India,Bills,130845
1/24/2015,Ahmedabad,India,Grocery,178220
9/19/2014,Delhi,India,Food,66725
2/20/2015,Bengaluru,India,Fuel,228471
4/26/2014,Ahmedabad,India,Bills,134958
8/13/2014,Delhi,India,Entertainment,240656
7/10/2014,Greater Mumbai,India,Grocery,71711
3/26/2015,Delhi,India,Food,243426
3/14/2014,Bengaluru,India,Grocery,24097
1/28/2015,Delhi,India,Entertainment,266618
11/10/2014,Delhi,India,Food,261855
12/13/2014,Delhi,India,Bills,105312
9/28/2014,Bengaluru,India,Grocery,259884
1/22/2015,Greater Mumbai,India,Grocery,144410
11/10/2013,Ahmedabad,India,Fuel,45027
2/26/2014,Delhi,India,Food,270921
10/20/2013,Delhi,India,Fuel,218541
11/15/2014,Bengaluru,India,Fuel,189598
5/26/2014,Greater Mumbai,India,Entertainment,64509
5/16/2015,Delhi,India,Bills,96674
10/30/2014,Ahmedabad,India,Grocery,2998
4/27/2015,Ahmedabad,India,Food,203247
3/13/2015,Greater Mumbai,India,Entertainment,149575
10/14/2013,Ahmedabad,India,Fuel,237189
2/11/2014,Greater Mumbai,India,Entertainment,259064
5/24/2015,Greater Mumbai,India,Entertainment,162669
8/23/2014,Delhi,India,Entertainment,9645
3/23/2015,Bengaluru,India,Grocery,8292
1/21/2014,Greater Mumbai,India,Food,265978
6/29/2014,Bengaluru,India,Bills,221562
1/26/2014,Bengaluru,India,Bills,287543
11/29/2013,Bengaluru,India,Entertainment,76361
12/10/2013,Delhi,India,Bills,142276
4/17/2014,Greater Mumbai,India,Entertainment,29971
5/22/2014,Bengaluru,India,Bills,45639
10/14/2014,Greater Mumbai,India,Food,200073
12/18/2014,Ahmedabad,India,Fuel,67531
6/20/2014,Delhi,India,Fuel,2215
2/22/2015,Delhi,India,Entertainment,251907
4/29/2015,Bengaluru,India,Food,40861
1/15/2014,Ahmedabad,India,Bills,239456
10/30/2013,Greater Mumbai,India,Entertainment,38504
11/20/2013,Greater Mumbai,India,Entertainment,64282
3/11/2014,Greater Mumbai,India,Fuel,164200
12/17/2013,Ahmedabad,India,Bills,3386
11/23/2014,Greater Mumbai,India,Food,200007
3/10/2015,Bengaluru,India,Fuel,173553
2/13/2014,Greater Mumbai,India,Bills,264936
3/27/2015,Delhi,India,Bills,33272
12/27/2014,Bengaluru,India,Fuel,78442
7/13/2014,Delhi,India,Grocery,129130
5/15/2014,Ahmedabad,India,Grocery,296168
11/23/2013,Greater Mumbai,India,Food,58915
5/25/2015,Bengaluru,India,Fuel,167042
9/15/2014,Ahmedabad,India,Bills,173818
5/19/2014,Delhi,India,Entertainment,242394
12/22/2013,Delhi,India,Grocery,32441
11/18/2013,Bengaluru,India,Bills,242288
6/27/2014,Ahmedabad,India,Bills,47509
1/16/2015,Delhi,India,Bills,200728
12/24/2013,Delhi,India,Grocery,142698
2/12/2015,Bengaluru,India,Food,297842
9/21/2014,Ahmedabad,India,Grocery,38521
12/25/2013,Greater Mumbai,India,Fuel,262459
1/23/2015,Delhi,India,Entertainment,163604
7/31/2014,Delhi,India,Fuel,236202
12/10/2014,Delhi,India,Bills,263528
1/12/2015,Greater Mumbai,India,Entertainment,203309
10/11/2013,Bengaluru,India,Bills,182330
12/16/2014,Ahmedabad,India,Food,274624
4/26/2015,Delhi,India,Food,223541
4/15/2015,Greater Mumbai,India,Grocery,68618
7/18/2014,Ahmedabad,India,Food,101495
11/11/2013,Delhi,India,Fuel,258034
12/31/2013,Greater Mumbai,India,Food,256335
12/12/2014,Ahmedabad,India,Fuel,43230
8/11/2014,Delhi,India,Entertainment,263221
10/15/2013,Delhi,India,Grocery,137925
1/20/2014,Delhi,India,Grocery,54337
10/14/2013,Delhi,India,Bills,185861
1/28/2014,Delhi,India,Entertainment,114523
1/10/2015,Greater Mumbai,India,Bills,67576
4/15/2015,Delhi,India,Fuel,69333
8/28/2014,Greater Mumbai,India,Grocery,124896
4/16/2015,Greater Mumbai,India,Grocery,181921
7/19/2014,Delhi,India,Bills,248399
2/19/2014,Greater Mumbai,India,Entertainment,278038
10/21/2013,Bengaluru,India,Fuel,150431
11/13/2014,Bengaluru,India,Fuel,263803
9/27/2014,Bengaluru,India,Bills,168736
12/19/2013,Ahmedabad,India,Food,15694
3/19/2015,Bengaluru,India,Bills,153334
5/21/2014,Ahmedabad,India,Bills,216543
2/20/2015,Greater Mumbai,India,Bills,229431
2/27/2014,Bengaluru,India,Grocery,148330
4/15/2014,Bengaluru,India,Entertainment,249348
9/30/2014,Bengaluru,India,Entertainment,109721
9/14/2014,Bengaluru,India,Food,206115
3/25/2015,Ahmedabad,India,Entertainment,115117
3/20/2014,Delhi,India,Food,99446
10/10/2014,Bengaluru,India,Fuel,209564
10/29/2013,Delhi,India,Bills,48176
11/28/2013,Greater Mumbai,India,Grocery,133180
4/23/2014,Greater Mumbai,India,Entertainment,46361
1/30/2015,Ahmedabad,India,Grocery,94948
1/11/2015,Ahmedabad,India,Food,39908
1/13/2015,Ahmedabad,India,Entertainment,37350
11/27/2014,Delhi,India,Grocery,125764
10/25/2013,Delhi,India,Entertainment,233984
12/23/2013,Greater Mumbai,India,Entertainment,264802
5/21/2014,Bengaluru,India,Fuel,140221
1/18/2014,Delhi,India,Entertainment,293272
7/26/2014,Greater Mumbai,India,Entertainment,179924
12/21/2014,Greater Mumbai,India,Food,152109
3/11/2014,Greater Mumbai,India,Food,294381
7/23/2014,Greater Mumbai,India,Fuel,110778
4/27/2015,Ahmedabad,India,Grocery,118176
3/23/2014,Delhi,India,Food,204604
1/29/2015,Ahmedabad,India,Bills,226908
4/11/2014,Bengaluru,India,Entertainment,2469
12/24/2013,Ahmedabad,India,Food,298250
2/10/2015,Delhi,India,Bills,143828
2/18/2014,Ahmedabad,India,Grocery,21337
10/16/2014,Bengaluru,India,Entertainment,44937
5/21/2014,Ahmedabad,India,Food,14277
10/14/2013,Delhi,India,Bills,290065
3/30/2015,Ahmedabad,India,Grocery,93015
10/24/2014,Delhi,India,Fuel,31694
3/24/2014,Bengaluru,India,Entertainment,214433
8/18/2014,Greater Mumbai,India,Bills,169137
4/20/2014,Bengaluru,India,Fuel,27278
5/14/2014,Greater Mumbai,India,Bills,207000
7/16/2014,Bengaluru,India,Entertainment,106923
1/22/2015,Greater Mumbai,India,Bills,14334
12/16/2014,Bengaluru,India,Bills,286820
9/28/2014,Ahmedabad,India,Grocery,231234
12/26/2013,Delhi,India,Food,80059
2/27/2014,Greater Mumbai,India,Fuel,16604
2/26/2015,Greater Mumbai,India,Food,219062
9/28/2014,Ahmedabad,India,Food,18215
3/14/2015,Bengaluru,India,Food,265386
8/24/2014,Ahmedabad,India,Food,167931
10/25/2013,Bengaluru,India,Grocery,271783
1/14/2015,Bengaluru,India,Food,99507
3/23/2015,Delhi,India,Entertainment,231213
6/26/2014,Bengaluru,India,Bills,188504
4/21/2015,Greater Mumbai,India,Bills,183125
12/18/2013,Delhi,India,Grocery,146001
11/29/2014,Delhi,India,Food,151476
1/23/2015,Bengaluru,India,Food,173769
10/10/2014,Greater Mumbai,India,Bills,104397
4/22/2014,Delhi,India,Bills,156269
4/14/2015,Bengaluru,India,Entertainment,257298
10/11/2014,Ahmedabad,India,Grocery,218367
12/16/2014,Delhi,India,Fuel,147691
6/27/2014,Delhi,India,Food,262967
8/17/2014,Greater Mumbai,India,Grocery,262366
10/12/2013,Bengaluru,India,Fuel,260855
2/22/2015,Delhi,India,Bills,263045
5/29/2014,Greater Mumbai,India,Fuel,126328
4/23/2014,Delhi,India,Fuel,6513
5/19/2015,Bengaluru,India,Food,165868
4/30/2014,Greater Mumbai,India,Bills,1056
1/31/2014,Ahmedabad,India,Food,270988
11/24/2014,Delhi,India,Fuel,16049
12/20/2013,Ahmedabad,India,Food,100310
12/31/2013,Ahmedabad,India,Fuel,227672
5/14/2015,Delhi,India,Entertainment,158767
10/16/2014,Delhi,India,Fuel,288390
4/12/2014,Delhi,India,Entertainment,84161
4/12/2014,Bengaluru,India,Bills,84189
4/18/2015,Bengaluru,India,Entertainment,156016
11/26/2014,Greater Mumbai,India,Entertainment,167149
12/31/2013,Delhi,India,Bills,31202
7/11/2014,Greater Mumbai,India,Fuel,177232
2/24/2015,Ahmedabad,India,Fuel,93822
10/29/2013,Greater Mumbai,India,Grocery,124882
12/21/2014,Delhi,India,Bills,59689
12/21/2014,Delhi,India,Grocery,189659
4/17/2015,Greater Mumbai,India,Fuel,119541
10/22/2014,Ahmedabad,India,Grocery,178746
5/16/2014,Ahmedabad,India,Fuel,111732
3/12/2014,Ahmedabad,India,Grocery,261416
9/19/2014,Bengaluru,India,Grocery,241039
4/15/2014,Delhi,India,Bills,4467
12/14/2013,Ahmedabad,India,Fuel,183722
2/27/2014,Bengaluru,India,Grocery,132275
10/28/2014,Bengaluru,India,Grocery,200238
3/24/2014,Ahmedabad,India,Entertainment,167964
11/26/2014,Ahmedabad,India,Bills,24893
2/15/2015,Delhi,India,Fuel,35233
10/22/2014,Greater Mumbai,India,Entertainment,79097
3/23/2015,Bengaluru,India,Entertainment,274120
2/15/2014,Bengaluru,India,Grocery,169003
4/12/2014,Delhi,India,Bills,204842
2/18/2015,Delhi,India,Food,69712
1/29/2015,Greater Mumbai,India,Entertainment,54937
10/31/2014,Bengaluru,India,Fuel,56533
4/25/2014,Ahmedabad,India,Food,88575
12/17/2014,Bengaluru,India,Entertainment,164258
2/24/2015,Delhi,India,Food,15121
4/25/2015,Delhi,India,Bills,244345
1/31/2014,Bengaluru,India,Entertainment,254756
4/22/2014,Ahmedabad,India,Food,38016
4/14/2014,Delhi,India,Food,22473
7/23/2014,Greater Mumbai,India,Entertainment,263260
5/15/2014,Delhi,India,Entertainment,242764
12/25/2013,Greater Mumbai,India,Entertainment,299602
3/11/2015,Ahmedabad,India,Fuel,131136
5/25/2014,Ahmedabad,India,Bills,189227
3/23/2014,Bengaluru,India,Entertainment,285600
3/11/2014,Delhi,India,Grocery,184864
9/15/2014,Ahmedabad,India,Food,43023
1/28/2015,Ahmedabad,India,Fuel,259750
4/23/2014,Greater Mumbai,India,Fuel,193861
5/16/2015,Delhi,India,Bills,130026
5/10/2014,Delhi,India,Fuel,126162
10/23/2014,Delhi,India,Fuel,106499
10/17/2014,Bengaluru,India,Entertainment,240451
9/29/2014,Bengaluru,India,Bills,25009
9/23/2014,Ahmedabad,India,Bills,260429
4/29/2014,Bengaluru,India,Food,260176
3/23/2014,Bengaluru,India,Food,259357
6/26/2014,Delhi,India,Entertainment,61646
12/21/2014,Delhi,India,Food,231143
1/22/2014,Ahmedabad,India,Fuel,199098
8/15/2014,Bengaluru,India,Fuel,29472
3/26/2014,Delhi,India,Grocery,288615
10/11/2014,Ahmedabad,India,Fuel,47164
1/20/2014,Delhi,India,Entertainment,94777
10/15/2013,Greater Mumbai,India,Bills,229198
1/13/2014,Ahmedabad,India,Bills,59010
5/20/2014,Bengaluru,India,Fuel,192017
11/26/2013,Greater Mumbai,India,Food,28996
7/26/2014,Greater Mumbai,India,Food,184279
5/26/2015,Greater Mumbai,India,Entertainment,28616
3/30/2014,Ahmedabad,India,Entertainment,247876
6/22/2014,Bengaluru,India,Entertainment,283678
10/27/2014,Greater Mumbai,India,Food,297657
3/21/2015,Ahmedabad,India,Food,125570
11/26/2013,Greater Mumbai,India,Bills,251563
8/30/2014,Greater Mumbai,India,Fuel,104840
11/23/2013,Ahmedabad,India,Bills,202135
11/22/2014,Delhi,India,Food,77711
12/30/2014,Delhi,India,Bills,14863
12/13/2014,Greater Mumbai,India,Grocery,288098
8/20/2014,Bengaluru,India,Food,94600
3/26/2015,Bengaluru,India,Food,204546
3/23/2015,Greater Mumbai,India,Entertainment,148784
3/15/2015,Bengaluru,India,Food,50734
